-0.059077,0.617647,0.333544,0.998941,0.00411142,-0.0411165,-0.0202121
-0.0543462,0.617675,0.333622,0.999219,0.00396698,-0.0338769,-0.0199502
-0.0454028,0.618084,0.333236,0.999388,0.0223642,-0.0187379,-0.0192927
-0.0376551,0.61816,0.333203,0.999883,0.00486058,-0.000244403,-0.0144781
-0.0300316,0.618326,0.333301,0.999892,0.0109446,0.00477255,-0.00858009
-0.0203578,0.618957,0.333763,0.999358,0.0329356,0.00995616,-0.00994962
-0.0142551,0.618906,0.333958,0.999918,-0.00402185,0.00777671,-0.00931635
-0.00889751,0.619055,0.333941,0.999826,0.0138104,0.00807436,-0.00961828
-0.000791792,0.619061,0.334002,0.999967,0.000442078,0.00298501,-0.00748259
0.00378893,0.619062,0.334041,0.999986,0.00014188,0.00102416,-0.00516482
0.0121706,0.619505,0.333934,0.999591,0.0263386,-0.00666942,-0.00896326
0.0190378,0.619994,0.33381,0.999176,0.0354948,-0.0161324,-0.0113159
0.0267204,0.620016,0.333378,0.999749,0.00119781,-0.0214003,-0.00656224
0.0353842,0.620691,0.332863,0.998993,0.0386119,-0.0222552,-0.00511361
0.0439319,0.620886,0.33255,0.999842,0.0113651,-0.0136053,-0.00157423
0.0505043,0.620952,0.332406,0.999951,0.00497582,-0.00826427,-0.00213337















